2,1.1,14.31
2,1.05,14.31
2,1.12,14.31
2,1.11,14.38
2,1.2,14.44
2,1.12,14.44
2,1.12,14.44
2,1.21,14.5
2,1.11,14.5
2,1.11,14.5
2,1.08,14.5
2,1.11,14.44
2,1.11,14.44
2,1.17,14.44
2,1.04,14.38
2,1.21,14.31
2,1.11,14.31
2,1.04,14.25
2,1.1,14.25
2,1,14.19
2,1.13,14.13
2,0.96,14.06
2,1.22,14.06
2,1.03,14
2,1.04,13.94
2,1.22,13.88
2,1.03,13.81
2,1.07,13.75
2,1.09,13.75
2,1.17,13.69
2,1.12,13.62
2,1.11,13.56
2,1.1,13.5
2,1.1,13.44
2,1.09,13.38
2,1.17,13.38
2,1.11,13.31
2,1.01,13.25
2,1.1,13.19
2,0.99,13.19
2,1.01,13.13
2,1.1,13.13
2,1.02,13.13
2,1.11,13.13
2,1.12,13.19
2,1.11,13.19
2,1.14,13.25
2,1.1,13.31
2,1.11,13.31
2,1.11,13.31
2,1.07,13.38
2,1.12,13.44
2,1.07,13.44
2,1.11,13.5
2,1.1,13.5
2,1.05,13.5
2,1.2,13.5
2,1.11,13.5
2,1.1,13.56
2,1.13,13.5
2,1.1,13.5
2,1.11,13.5
2,1.11,13.44
2,1.1,13.44
2,1.1,13.44
2,0.99,13.38
2,1.09,13.31
2,1.02,13.31
2,1.11,13.31
2,1.1,13.25
2,1.1,13.25
2,1.09,13.19
2,1.1,13.19
2,1.17,13.13
2,1.1,13.13
2,1.1,13.06
2,1.2,13.06
2,1.11,13
2,1.06,12.94
2,1.1,12.94
2,1.1,12.88
2,1.09,12.88
2,1.02,12.81
2,1.1,12.81
2,1.2,12.75
2,1.1,12.75
2,1.21,12.69
2,1.1,12.69
2,1.18,12.69
2,1.09,12.69
2,1.08,12.69
2,1.1,12.69
2,1.09,12.69
2,1.18,12.75
2,1.1,12.69
2,1.08,12.75
2,1.11,12.75
2,1.11,12.75
2,1.2,12.75
2,1.1,12.75
2,1.07,12.81
2,0.99,12.88
2,1.07,12.88
2,1.06,12.88
2,1.07,12.88
2,1.07,12.88
2,0.98,12.88
2,1.06,12.88
2,0.98,12.88
2,1.05,12.88
2,1.16,12.88
2,1.17,12.81
2,1.16,12.81
2,1.06,12.81
2,1.06,12.81
2,1.06,12.81
2,1.16,12.81
2,1.08,12.81
2,1.06,12.81
2,0.99,12.81
2,1.06,12.88
2,1.08,12.88
2,0.97,12.88
2,1.16,12.88
2,1.16,12.94
2,0.98,12.94
2,1.16,12.94
2,1.16,12.94
2,1.04,12.94
2,0.94,12.88
2,1.07,12.81
2,1.05,12.75
2,1.04,12.75
2,1.05,12.69
2,1.13,12.63
2,1.06,12.63
2,1.04,12.56
2,1.05,12.63
2,1.06,12.63
2,1.05,12.69
2,1.05,12.75
2,1.11,12.88
2,1.05,12.94
2,1.09,13
2,1.06,13.06
2,1.05,13.19
2,1.14,13.25
2,1.06,13.38
2,1.04,13.44
2,1.05,13.5
2,1.13,13.56
2,1.06,13.62
2,1.05,13.69
2,1.06,13.69
2,1.05,13.69
2,1.14,13.75
2,1.05,13.69
2,1.06,13.69
2,0.97,13.62
2,1.06,13.62
2,1.12,13.62
2,1.04,13.56
2,1.06,13.5
2,1.05,13.44
2,1.06,13.38
2,1.05,13.38
2,1.06,13.31
2,1.16,13.25
2,1.18,13.19
2,1.06,13.13
2,1,13.06
2,1.05,13.06
2,1.16,12.94
2,1.06,12.88
2,1.07,12.81
2,1.08,12.81
2,1.06,12.75
2,1.18,12.69
2,1.08,12.56
2,1.07,12.5
2,1.1,12.44
2,1.07,12.37
2,1.08,12.31
2,1.08,12.25
2,1.07,12.31
2,1.07,12.31
2,1.08,12.44
2,1.07,12.5
2,1.09,12.69
2,1.03,12.88
2,1.08,13.06
2,1.07,13.25
2,1.08,13.31
2,1.08,13.44
2,1.08,13.56
2,1.08,13.69
2,1.17,13.75
2,1.08,13.81
2,1.08,13.88
2,1.08,13.94
2,1.08,13.94
2,1.08,14
2,1.08,14
2,1.07,14
2,1.16,13.94
2,1.07,14
2,0.99,14
2,0.98,13.94
2,1.07,13.94
2,1.15,13.94
2,1.16,13.88
2,1.06,13.88
2,1.16,13.81
2,1.09,13.81
2,1.06,13.75
2,1.07,13.69
2,1.06,13.69
2,0.98,13.62
2,0.96,13.62
2,1.08,13.56
2,1,13.56
2,1.15,13.56
2,1.14,13.5
2,1.17,13.5
2,1.15,13.5
2,1.06,13.5
2,1.12,13.5
2,1.05,13.44
2,1.14,13.5
2,1.05,13.44
2,1.11,13.44
2,1.06,13.44
2,1.15,13.44
2,0.97,13.5
2,0.98,13.5
2,1,13.56
2,1.05,13.56
2,1.14,13.56
2,1.07,13.56
2,0.98,13.62
2,1.05,13.69
2,0.96,13.69
0,1.03,13.69
0,1.03,13.69
